job_id,job_title,job_title_short,job_location,search_location,job_posted_date,county,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills
29,Data Analyst,Data,San Francisco,"San Francisco, USA",2025-09-24,Los Angeles County,Hourly,131749.32,63.34,BrightPath,"Python, SQL, Excel"
30,Marketing Specialist,Marketing,Chicago,"Chicago, USA",2025-01-12,Harris County,Hourly,138845.89,66.75,Techify,"AutoCAD, SolidWorks"
31,Mechanical Engineer,Mechanical,New York,"New York, USA",2025-02-03,Los Angeles County,Yearly,129168.33,62.1,BrightPath,"JavaScript, React, Node.js"
32,Electrical Technician,Electrical,San Francisco,"San Francisco, USA",2024-10-20,Kings County,Yearly,54742.61,26.32,DataNest,"Python, SQL, Excel"
33,Mechanical Engineer,Mechanical,New York,"New York, USA",2024-12-28,Kings County,Yearly,51375.03,24.7,NextGen Corp,"AutoCAD, SolidWorks"
34,Marketing Specialist,Marketing,New York,"New York, USA",2025-02-11,Harris County,Hourly,52316.72,25.15,SoftHub,"Customer Service, Communication"
35,Marketing Specialist,Marketing,Los Angeles,"Los Angeles, USA",2025-02-25,Los Angeles County,Hourly,149862.72,72.05,NextGen Corp,"Customer Service, Communication"
36,Financial Analyst,Financial,Austin,"Austin, USA",2025-04-15,King County,Yearly,101082.15,48.6,Techify,"Customer Service, Communication"
37,Web Developer,Web,Houston,"Houston, USA",2025-06-14,Cook County,Hourly,59459.68,28.59,GreenWorks,"JavaScript, React, Node.js"
38,Web Developer,Web,Houston,"Houston, USA",2025-10-05,Cook County,Hourly,147375.32,70.85,NextGen Corp,"SEO, Google Ads, Analytics"
39,Data Analyst,Data,Houston,"Houston, USA",2025-02-05,King County,Yearly,144112.24,69.28,DataNest,"JavaScript, React, Node.js"
40,Software Engineer,Software,Los Angeles,"Los Angeles, USA",2025-05-01,King County,Yearly,122347.71,58.82,SkyNet Ltd,"Accounting, QuickBooks, Excel"
41,Data Analyst,Data,Seattle,"Seattle, USA",2025-04-09,Kings County,Hourly,109361.23,52.58,SkyNet Ltd,"AutoCAD, SolidWorks"
42,Marketing Specialist,Marketing,Austin,"Austin, USA",2025-06-03,King County,Hourly,49163.64,23.64,NextGen Corp,"Accounting, QuickBooks, Excel"
43,Project Manager,Project,Chicago,"Chicago, USA",2025-09-05,King County,Hourly,121457.05,58.39,BrightPath,"JavaScript, React, Node.js"
44,Marketing Specialist,Marketing,Austin,"Austin, USA",2025-03-13,Los Angeles County,Hourly,132489.29,63.7,SkyNet Ltd,"Customer Service, Communication"
45,Mechanical Engineer,Mechanical,Austin,"Austin, USA",2025-09-19,Harris County,Yearly,115990.65,55.76,SoftHub,"SEO, Google Ads, Analytics"
46,Graphic Designer,Graphic,Chicago,"Chicago, USA",2025-05-29,King County,Yearly,41492.95,19.95,NextGen Corp,"Customer Service, Communication"
47,Project Manager,Project,Seattle,"Seattle, USA",2024-12-24,King County,Yearly,64306.68,30.92,GreenWorks,"AutoCAD, SolidWorks"
48,Software Engineer,Software,New York,"New York, USA",2025-10-06,King County,Yearly,81184.75,39.03,NextGen Corp,"AutoCAD, SolidWorks"
49,Financial Analyst,Financial,Houston,"Houston, USA",2025-01-08,Harris County,Hourly,110430.69,53.09,DataNest,"Python, SQL, Excel"
50,Customer Support Representative,Customer,Houston,"Houston, USA",2025-08-10,Los Angeles County,Hourly,141628.79,68.09,Techify,"AutoCAD, SolidWorks"
51,Web Developer,Web,Seattle,"Seattle, USA",2024-11-28,Harris County,Yearly,42739.38,20.55,Techify,"Customer Service, Communication"
52,Project Manager,Project,Los Angeles,"Los Angeles, USA",2025-01-24,Los Angeles County,Yearly,52880.97,25.42,Techify,"Python, SQL, Excel"
53,Web Developer,Web,Los Angeles,"Los Angeles, USA",2025-02-22,Harris County,Hourly,49805.78,23.95,GreenWorks,"Customer Service, Communication"
54,Data Analyst,Data,Chicago,"Chicago, USA",2025-04-18,King County,Hourly,68038.46,32.71,GreenWorks,"Accounting, QuickBooks, Excel"
55,Customer Support Representative,Customer,Seattle,"Seattle, USA",2025-04-13,Harris County,Yearly,124896.44,60.05,NextGen Corp,"JavaScript, React, Node.js"
56,Mechanical Engineer,Mechanical,Houston,"Houston, USA",2025-02-05,Cook County,Yearly,149567.27,71.91,NextGen Corp,"Accounting, QuickBooks, Excel"
57,Electrical Technician,Electrical,Houston,"Houston, USA",2025-02-13,Kings County,Hourly,137473.94,66.09,SkyNet Ltd,"SEO, Google Ads, Analytics"
58,Customer Support Representative,Customer,Chicago,"Chicago, USA",2024-12-20,Los Angeles County,Hourly,123911.78,59.57,Techify,"SEO, Google Ads, Analytics"
59,Financial Analyst,Financial,Austin,"Austin, USA",2025-05-30,Harris County,Yearly,132733.35,63.81,SoftHub,"JavaScript, React, Node.js"
60,Graphic Designer,Graphic,Chicago,"Chicago, USA",2025-06-09,Los Angeles County,Yearly,110350.54,53.05,Techify,"SEO, Google Ads, Analytics"
61,Financial Analyst,Financial,Houston,"Houston, USA",2025-07-01,Los Angeles County,Yearly,134580.46,64.7,SkyNet Ltd,"AutoCAD, SolidWorks"
62,Marketing Specialist,Marketing,New York,"New York, USA",2024-11-10,King County,Hourly,90547.32,43.53,BrightPath,"Customer Service, Communication"
63,Data Analyst,Data,Seattle,"Seattle, USA",2024-10-17,Harris County,Yearly,63820.89,30.68,DataNest,"Python, SQL, Excel"
64,Software Engineer,Software,Chicago,"Chicago, USA",2025-07-22,Los Angeles County,Hourly,99716.71,47.94,NextGen Corp,"Photoshop, Illustrator"
65,Project Manager,Project,Seattle,"Seattle, USA",2025-09-16,Los Angeles County,Yearly,130215.79,62.6,SoftHub,"SEO, Google Ads, Analytics"
66,Web Developer,Web,Austin,"Austin, USA",2025-04-25,Los Angeles County,Hourly,110120.07,52.94,SkyNet Ltd,"JavaScript, React, Node.js"
67,Financial Analyst,Financial,Los Angeles,"Los Angeles, USA",2024-10-26,Harris County,Yearly,108307.2,52.07,SkyNet Ltd,"Photoshop, Illustrator"
68,Web Developer,Web,Houston,"Houston, USA",2024-12-04,Harris County,Hourly,145985.99,70.19,DataNest,"Python, SQL, Excel"
69,Software Engineer,Software,Seattle,"Seattle, USA",2025-05-09,Harris County,Yearly,123952.93,59.59,DataNest,"Customer Service, Communication"
70,Financial Analyst,Financial,New York,"New York, USA",2025-08-13,King County,Hourly,42992.68,20.67,BrightPath,"AutoCAD, SolidWorks"
71,Web Developer,Web,Austin,"Austin, USA",2025-05-13,Kings County,Hourly,144787.89,69.61,BrightPath,"SEO, Google Ads, Analytics"
72,Graphic Designer,Graphic,Los Angeles,"Los Angeles, USA",2025-05-09,King County,Hourly,114541.65,55.07,GreenWorks,"Python, SQL, Excel"
73,Data Analyst,Data,San Francisco,"San Francisco, USA",2024-11-17,Los Angeles County,Hourly,76154.06,36.61,DataNest,"Customer Service, Communication"
74,Data Analyst,Data,Austin,"Austin, USA",2025-02-26,Harris County,Yearly,124469.18,59.84,Techify,"Photoshop, Illustrator"
75,Mechanical Engineer,Mechanical,Houston,"Houston, USA",2024-10-21,King County,Yearly,52301.84,25.15,NextGen Corp,"Photoshop, Illustrator"
76,Mechanical Engineer,Mechanical,Chicago,"Chicago, USA",2025-02-18,Harris County,Yearly,102423.91,49.24,SkyNet Ltd,"JavaScript, React, Node.js"
77,Marketing Specialist,Marketing,Los Angeles,"Los Angeles, USA",2025-09-18,Cook County,Yearly,62612.98,30.1,Techify,"JavaScript, React, Node.js"
78,Project Manager,Project,Los Angeles,"Los Angeles, USA",2025-05-09,Cook County,Yearly,140048.74,67.33,GreenWorks,"AutoCAD, SolidWorks"
79,Project Manager,Project,Los Angeles,"Los Angeles, USA",2025-03-20,Kings County,Hourly,115039.6,55.31,SoftHub,"AutoCAD, SolidWorks"
80,Software Engineer,Software,New York,"New York, USA",2025-05-08,King County,Hourly,94603.28,45.48,SoftHub,"Customer Service, Communication"
81,Mechanical Engineer,Mechanical,Chicago,"Chicago, USA",2025-07-15,King County,Hourly,81487.49,39.18,SoftHub,"AutoCAD, SolidWorks"
82,Customer Support Representative,Customer,Chicago,"Chicago, USA",2024-11-22,Los Angeles County,Yearly,139113.84,66.88,DataNest,"Photoshop, Illustrator"
83,Graphic Designer,Graphic,Los Angeles,"Los Angeles, USA",2025-09-19,Cook County,Hourly,66402.84,31.92,NextGen Corp,"Customer Service, Communication"
84,Data Analyst,Data,Seattle,"Seattle, USA",2024-12-29,King County,Yearly,70221.6,33.76,NextGen Corp,"Photoshop, Illustrator"
85,Graphic Designer,Graphic,Los Angeles,"Los Angeles, USA",2025-10-03,Los Angeles County,Hourly,128856.31,61.95,SoftHub,"JavaScript, React, Node.js"
86,Project Manager,Project,Chicago,"Chicago, USA",2025-06-19,Harris County,Hourly,110671.11,53.21,GreenWorks,"Accounting, QuickBooks, Excel"
87,Customer Support Representative,Customer,San Francisco,"San Francisco, USA",2024-12-10,Kings County,Yearly,73633.95,35.4,NextGen Corp,"Customer Service, Communication"
88,Graphic Designer,Graphic,New York,"New York, USA",2025-01-21,Los Angeles County,Yearly,141365.15,67.96,SoftHub,"SEO, Google Ads, Analytics"
89,Software Engineer,Software,Los Angeles,"Los Angeles, USA",2025-03-15,Los Angeles County,Yearly,50732.6,24.39,GreenWorks,"AutoCAD, SolidWorks"
90,Customer Support Representative,Customer,San Francisco,"San Francisco, USA",2024-11-17,Cook County,Hourly,56955.54,27.38,DataNest,"SEO, Google Ads, Analytics"
91,Graphic Designer,Graphic,Austin,"Austin, USA",2025-07-06,Kings County,Hourly,104284.85,50.14,SoftHub,"Photoshop, Illustrator"
92,Customer Support Representative,Customer,Chicago,"Chicago, USA",2025-02-20,King County,Yearly,121561.44,58.44,DataNest,"SEO, Google Ads, Analytics"
93,Graphic Designer,Graphic,Houston,"Houston, USA",2025-08-25,Los Angeles County,Hourly,58806.29,28.27,NextGen Corp,"AutoCAD, SolidWorks"
94,Project Manager,Project,Los Angeles,"Los Angeles, USA",2025-08-04,Cook County,Hourly,138335.93,66.51,NextGen Corp,"Accounting, QuickBooks, Excel"
95,Mechanical Engineer,Mechanical,New York,"New York, USA",2025-05-05,Los Angeles County,Yearly,121654.87,58.49,SoftHub,"JavaScript, React, Node.js"
96,Customer Support Representative,Customer,Los Angeles,"Los Angeles, USA",2025-05-09,King County,Hourly,102565.08,49.31,SoftHub,"Customer Service, Communication"
97,Project Manager,Project,Chicago,"Chicago, USA",2025-09-01,Cook County,Hourly,66469.21,31.96,SkyNet Ltd,"Accounting, QuickBooks, Excel"
98,Mechanical Engineer,Mechanical,Houston,"Houston, USA",2025-04-02,Cook County,Yearly,53562.68,25.75,SoftHub,"Customer Service, Communication"
99,Graphic Designer,Graphic,Seattle,"Seattle, USA",2025-08-29,Kings County,Hourly,145446.41,69.93,BrightPath,"Accounting, QuickBooks, Excel"
100,Project Manager,Project,New York,"New York, USA",2025-08-08,Harris County,Hourly,95188.71,45.76,Techify,"Accounting, QuickBooks, Excel"
101,Software Engineer,Software,Austin,"Austin, USA",2025-01-31,Kings County,Hourly,147626.7,70.97,SoftHub,"Customer Service, Communication"
102,Electrical Technician,Electrical,Los Angeles,"Los Angeles, USA",2025-01-28,Cook County,Yearly,105236.45,50.59,NextGen Corp,"Python, SQL, Excel"
103,Project Manager,Project,Seattle,"Seattle, USA",2024-12-14,Kings County,Hourly,131363.44,63.16,Techify,"Customer Service, Communication"
104,Customer Support Representative,Customer,Seattle,"Seattle, USA",2025-03-24,Los Angeles County,Yearly,79067.33,38.01,GreenWorks,"Photoshop, Illustrator"
105,Project Manager,Project,New York,"New York, USA",2024-11-28,King County,Yearly,86226.45,41.46,DataNest,"SEO, Google Ads, Analytics"
106,Mechanical Engineer,Mechanical,Seattle,"Seattle, USA",2025-07-12,Cook County,Yearly,42143.6,20.26,DataNest,"Python, SQL, Excel"
107,Project Manager,Project,San Francisco,"San Francisco, USA",2025-05-06,Harris County,Yearly,131391.06,63.17,Techify,"Customer Service, Communication"
108,Web Developer,Web,Los Angeles,"Los Angeles, USA",2025-04-08,Cook County,Yearly,81911.43,39.38,SkyNet Ltd,"JavaScript, React, Node.js"
109,Financial Analyst,Financial,Houston,"Houston, USA",2025-03-27,Harris County,Yearly,96808.45,46.54,DataNest,"JavaScript, React, Node.js"
110,Software Engineer,Software,Seattle,"Seattle, USA",2025-04-10,Cook County,Hourly,113566.84,54.6,BrightPath,"Photoshop, Illustrator"
111,Customer Support Representative,Customer,Seattle,"Seattle, USA",2025-04-06,Los Angeles County,Hourly,142852.85,68.68,SoftHub,"JavaScript, React, Node.js"
112,Graphic Designer,Graphic,Seattle,"Seattle, USA",2025-06-01,Cook County,Yearly,103579.18,49.8,Techify,"Photoshop, Illustrator"
113,Graphic Designer,Graphic,Seattle,"Seattle, USA",2025-01-04,King County,Hourly,103965.74,49.98,Techify,"Customer Service, Communication"
114,Electrical Technician,Electrical,Chicago,"Chicago, USA",2025-09-13,Kings County,Hourly,75096.97,36.1,SoftHub,"Python, SQL, Excel"
115,Financial Analyst,Financial,Chicago,"Chicago, USA",2025-08-24,Harris County,Yearly,57699.08,27.74,NextGen Corp,"Accounting, QuickBooks, Excel"
116,Web Developer,Web,New York,"New York, USA",2025-02-17,Los Angeles County,Yearly,144787.56,69.61,GreenWorks,"Customer Service, Communication"
117,Graphic Designer,Graphic,New York,"New York, USA",2024-12-22,Kings County,Hourly,142960.49,68.73,GreenWorks,"AutoCAD, SolidWorks"
118,Web Developer,Web,New York,"New York, USA",2024-10-23,Harris County,Yearly,137279.21,66.0,DataNest,"SEO, Google Ads, Analytics"
119,Mechanical Engineer,Mechanical,Houston,"Houston, USA",2025-05-28,Harris County,Hourly,140671.99,67.63,BrightPath,"JavaScript, React, Node.js"
120,Customer Support Representative,Customer,Austin,"Austin, USA",2024-12-15,Kings County,Yearly,78923.84,37.94,DataNest,"JavaScript, React, Node.js"
121,Software Engineer,Software,Los Angeles,"Los Angeles, USA",2025-09-08,Los Angeles County,Yearly,144165.68,69.31,Techify,"Customer Service, Communication"
122,Financial Analyst,Financial,Chicago,"Chicago, USA",2024-11-28,Los Angeles County,Yearly,120291.65,57.83,NextGen Corp,"JavaScript, React, Node.js"
123,Project Manager,Project,Austin,"Austin, USA",2025-06-21,Harris County,Hourly,44890.33,21.58,DataNest,"JavaScript, React, Node.js"
124,Graphic Designer,Graphic,Los Angeles,"Los Angeles, USA",2025-05-05,Harris County,Hourly,48118.18,23.13,NextGen Corp,"Customer Service, Communication"
125,Customer Support Representative,Customer,Seattle,"Seattle, USA",2025-03-15,Harris County,Hourly,40971.54,19.7,Techify,"JavaScript, React, Node.js"
126,Marketing Specialist,Marketing,Chicago,"Chicago, USA",2024-11-02,Kings County,Yearly,71472.75,34.36,GreenWorks,"SEO, Google Ads, Analytics"
127,Graphic Designer,Graphic,Los Angeles,"Los Angeles, USA",2024-11-21,Kings County,Yearly,103214.55,49.62,Techify,"Python, SQL, Excel"
128,Financial Analyst,Financial,Los Angeles,"Los Angeles, USA",2025-10-10,Los Angeles County,Yearly,121318.05,58.33,GreenWorks,"AutoCAD, SolidWorks"
129,Marketing Specialist,Marketing,Chicago,"Chicago, USA",2024-10-27,Harris County,Yearly,47248.13,22.72,Techify,"Accounting, QuickBooks, Excel"
130,Electrical Technician,Electrical,Austin,"Austin, USA",2025-04-08,King County,Hourly,117984.37,56.72,SkyNet Ltd,"Accounting, QuickBooks, Excel"
131,Project Manager,Project,Houston,"Houston, USA",2025-02-01,Cook County,Yearly,136233.81,65.5,SoftHub,"SEO, Google Ads, Analytics"
132,Graphic Designer,Graphic,San Francisco,"San Francisco, USA",2025-08-14,Harris County,Yearly,113970.53,54.79,Techify,"Python, SQL, Excel"
133,Customer Support Representative,Customer,New York,"New York, USA",2024-12-18,Harris County,Hourly,142475.22,68.5,DataNest,"SEO, Google Ads, Analytics"
134,Data Analyst,Data,Los Angeles,"Los Angeles, USA",2024-12-31,Cook County,Yearly,122209.36,58.75,GreenWorks,"Accounting, QuickBooks, Excel"
135,Project Manager,Project,Houston,"Houston, USA",2025-09-17,Cook County,Hourly,99876.47,48.02,Techify,"AutoCAD, SolidWorks"
136,Financial Analyst,Financial,Chicago,"Chicago, USA",2025-09-02,Los Angeles County,Hourly,73518.9,35.35,DataNest,"SEO, Google Ads, Analytics"
137,Financial Analyst,Financial,Los Angeles,"Los Angeles, USA",2024-11-05,Harris County,Yearly,116577.55,56.05,GreenWorks,"Photoshop, Illustrator"
138,Marketing Specialist,Marketing,San Francisco,"San Francisco, USA",2025-06-03,King County,Yearly,149631.59,71.94,SoftHub,"Photoshop, Illustrator"
139,Graphic Designer,Graphic,New York,"New York, USA",2025-09-12,Kings County,Yearly,98791.33,47.5,Techify,"SEO, Google Ads, Analytics"
140,Electrical Technician,Electrical,Austin,"Austin, USA",2025-09-30,King County,Yearly,108292.55,52.06,DataNest,"Photoshop, Illustrator"
141,Software Engineer,Software,New York,"New York, USA",2025-01-15,Los Angeles County,Hourly,74282.94,35.71,Techify,"SEO, Google Ads, Analytics"
142,Mechanical Engineer,Mechanical,Seattle,"Seattle, USA",2025-07-02,Harris County,Hourly,134707.39,64.76,SoftHub,"Photoshop, Illustrator"
143,Software Engineer,Software,Chicago,"Chicago, USA",2025-04-03,Harris County,Yearly,144884.24,69.66,BrightPath,"Customer Service, Communication"
144,Software Engineer,Software,Houston,"Houston, USA",2025-06-09,Cook County,Yearly,105839.72,50.88,SkyNet Ltd,"JavaScript, React, Node.js"
145,Marketing Specialist,Marketing,San Francisco,"San Francisco, USA",2024-11-08,Harris County,Hourly,146369.31,70.37,BrightPath,"Customer Service, Communication"
146,Software Engineer,Software,Los Angeles,"Los Angeles, USA",2024-11-20,Harris County,Hourly,51372.74,24.7,SoftHub,"Photoshop, Illustrator"
147,Web Developer,Web,Houston,"Houston, USA",2025-09-09,Kings County,Yearly,51002.94,24.52,SoftHub,"Customer Service, Communication"
148,Graphic Designer,Graphic,Austin,"Austin, USA",2024-12-26,Cook County,Yearly,118731.77,57.08,DataNest,"SEO, Google Ads, Analytics"
149,Electrical Technician,Electrical,Austin,"Austin, USA",2025-08-18,Los Angeles County,Yearly,104687.41,50.33,DataNest,"Python, SQL, Excel"
150,Electrical Technician,Electrical,Chicago,"Chicago, USA",2025-08-31,Harris County,Hourly,99775.65,47.97,SoftHub,"Python, SQL, Excel"
151,Customer Support Representative,Customer,Seattle,"Seattle, USA",2024-11-25,King County,Hourly,115175.31,55.37,SkyNet Ltd,"Customer Service, Communication"
152,Software Engineer,Software,Houston,"Houston, USA",2024-12-04,Harris County,Hourly,130435.47,62.71,SkyNet Ltd,"Accounting, QuickBooks, Excel"
153,Graphic Designer,Graphic,Seattle,"Seattle, USA",2025-03-10,Harris County,Hourly,144614.71,69.53,DataNest,"Accounting, QuickBooks, Excel"
154,Financial Analyst,Financial,Austin,"Austin, USA",2025-02-11,Harris County,Hourly,105699.64,50.82,BrightPath,"Customer Service, Communication"
155,Electrical Technician,Electrical,New York,"New York, USA",2025-01-02,Kings County,Yearly,45139.09,21.7,NextGen Corp,"AutoCAD, SolidWorks"
156,Marketing Specialist,Marketing,New York,"New York, USA",2025-07-12,Harris County,Hourly,60760.94,29.21,SkyNet Ltd,"Customer Service, Communication"
157,Web Developer,Web,Los Angeles,"Los Angeles, USA",2025-02-08,Kings County,Hourly,95409.85,45.87,GreenWorks,"Python, SQL, Excel"
158,Financial Analyst,Financial,Houston,"Houston, USA",2025-01-27,Cook County,Yearly,143473.23,68.98,SkyNet Ltd,"Customer Service, Communication"
159,Mechanical Engineer,Mechanical,Seattle,"Seattle, USA",2025-10-01,Cook County,Yearly,43415.88,20.87,BrightPath,"Photoshop, Illustrator"
160,Marketing Specialist,Marketing,Houston,"Houston, USA",2025-04-18,Cook County,Hourly,122141.01,58.72,GreenWorks,"Customer Service, Communication"
161,Financial Analyst,Financial,Houston,"Houston, USA",2025-07-19,Kings County,Yearly,67817.08,32.6,GreenWorks,"JavaScript, React, Node.js"
162,Software Engineer,Software,Seattle,"Seattle, USA",2025-07-05,Los Angeles County,Hourly,109593.27,52.69,Techify,"Photoshop, Illustrator"
163,Electrical Technician,Electrical,Houston,"Houston, USA",2025-04-25,Cook County,Hourly,48871.19,23.5,SoftHub,"SEO, Google Ads, Analytics"
164,Software Engineer,Software,New York,"New York, USA",2025-05-11,Cook County,Hourly,69459.88,33.39,Techify,"SEO, Google Ads, Analytics"
165,Mechanical Engineer,Mechanical,Houston,"Houston, USA",2024-11-10,Harris County,Hourly,130830.71,62.9,SkyNet Ltd,"AutoCAD, SolidWorks"
166,Marketing Specialist,Marketing,Houston,"Houston, USA",2025-01-07,Cook County,Yearly,81172.66,39.03,Techify,"Accounting, QuickBooks, Excel"
167,Mechanical Engineer,Mechanical,Houston,"Houston, USA",2025-03-26,King County,Hourly,85446.87,41.08,GreenWorks,"SEO, Google Ads, Analytics"
168,Mechanical Engineer,Mechanical,Chicago,"Chicago, USA",2025-05-18,Cook County,Hourly,106831.31,51.36,SoftHub,"AutoCAD, SolidWorks"
169,Marketing Specialist,Marketing,Chicago,"Chicago, USA",2025-01-04,King County,Yearly,71548.81,34.4,SkyNet Ltd,"JavaScript, React, Node.js"
170,Data Analyst,Data,Chicago,"Chicago, USA",2025-02-28,King County,Hourly,85797.66,41.25,GreenWorks,"Python, SQL, Excel"
171,Project Manager,Project,Chicago,"Chicago, USA",2025-02-20,Los Angeles County,Hourly,89254.11,42.91,SoftHub,"SEO, Google Ads, Analytics"
172,Project Manager,Project,Los Angeles,"Los Angeles, USA",2025-01-28,Cook County,Yearly,58058.2,27.91,BrightPath,"Python, SQL, Excel"
173,Electrical Technician,Electrical,San Francisco,"San Francisco, USA",2025-03-12,Kings County,Yearly,144447.41,69.45,Techify,"Customer Service, Communication"
174,Software Engineer,Software,Seattle,"Seattle, USA",2025-06-12,Los Angeles County,Yearly,68345.08,32.86,SkyNet Ltd,"JavaScript, React, Node.js"
175,Financial Analyst,Financial,San Francisco,"San Francisco, USA",2025-07-28,Cook County,Hourly,100231.35,48.19,SkyNet Ltd,"JavaScript, React, Node.js"
176,Project Manager,Project,San Francisco,"San Francisco, USA",2025-07-06,Los Angeles County,Hourly,64348.29,30.94,NextGen Corp,"SEO, Google Ads, Analytics"
177,Web Developer,Web,San Francisco,"San Francisco, USA",2025-02-27,King County,Hourly,50067.41,24.07,BrightPath,"Python, SQL, Excel"
178,Graphic Designer,Graphic,Chicago,"Chicago, USA",2025-05-29,Harris County,Hourly,88772.2,42.68,BrightPath,"AutoCAD, SolidWorks"
179,Electrical Technician,Electrical,San Francisco,"San Francisco, USA",2024-12-06,Los Angeles County,Yearly,49459.2,23.78,SkyNet Ltd,"AutoCAD, SolidWorks"
180,Marketing Specialist,Marketing,Seattle,"Seattle, USA",2025-07-02,Cook County,Yearly,110055.73,52.91,SoftHub,"Customer Service, Communication"
181,Electrical Technician,Electrical,Houston,"Houston, USA",2025-03-24,Harris County,Yearly,43885.97,21.1,SoftHub,"Python, SQL, Excel"
182,Web Developer,Web,Austin,"Austin, USA",2025-03-16,Kings County,Yearly,146595.84,70.48,Techify,"Accounting, QuickBooks, Excel"
183,Software Engineer,Software,Seattle,"Seattle, USA",2025-10-07,Cook County,Hourly,62230.73,29.92,SkyNet Ltd,"AutoCAD, SolidWorks"
184,Financial Analyst,Financial,San Francisco,"San Francisco, USA",2025-05-07,Kings County,Yearly,95745.72,46.03,SkyNet Ltd,"Python, SQL, Excel"
